address,name,lat,lng,postcode,suburb,url
"309-311 William St, West Melbourne VIC 3003",Flagstaff Gardens Tennis Courts,-37.80447759,144.9568066,3003,West Melbourne,https://activemelbourne-ymca.perfectgym.com/ClientPortal2/ClubZoneOccupancyCalendar/1c5527fe2
"0 Flemington Rd, Parkville VIC 3052",North Park Tennis Club,-37.78494416,144.9458202,3052,Parkville,https://play.tennis.com.au/NorthParkTennisClub
"121 Princes Park Dr, Carlton North VIC 3054",Princes Hill Tennis Club,-37.78223077,144.9622997,3054,Carlton North,https://play.tennis.com.au/PrincesHillTennisClub/booking/
"333 The Avenue, Parkville VIC 3052",Royal Park Tennis Club,-37.77219038,144.9571499,3052,Parkville,https://play.tennis.com.au/RoyalParkTennisClub/Booking/
"Edinburgh Gardens, 100F St Georges Rd, Fitzroy North VIC 3068",Fitzroy Tennis Club,-37.78385882,144.9811825,3068,Fitzroy North,https://play.tennis.com.au/FitzroyTennisClub/Booking/
"2 Hoddle St, Clifton Hill VIC 3068",Clifton Hill Tennis Club,-37.78250212,144.9962887,3068,Clifton Hill,https://play.tennis.com.au/MayorsParkTennisCentre/booking/
"425 Victoria St, Brunswick VIC 3056",West Brunswick Tennis Club,-37.7616058,144.9537167,3056,Brunswick,https://play.tennis.com.au/WestBrunswickTennisClub/booking/
"Haig Ave, Coburg VIC 3058",Glencairn Tennis Club,-37.74704951,144.9535278,3058,Coburg,https://play.tennis.com.au/glencairntennisclub/booking/
"227A Bell St, Coburg VIC 3058",Coburg Tennis Club,-37.73816792,144.9539552,3058,Coburg,https://play.tennis.com.au/CoburgTennisClub/Booking/
"45 Pentridge Blvd, Coburg VIC 3058",East Coburg Tennis Club,-37.73885346,144.9727974,3058,Coburg,https://play.tennis.com.au/eastcoburgtennisclub/booking/
"Collier St, Preston VIC 3072",East Preston Park Tennis Club Inc.,-37.74679722,145.0102256,3072,Preston,https://play.tennis.com.au/eastprestonparktennisclub/Booking/
"180 Victoria Rd, Northcote VIC 3070",Northcote Tennis,-37.76575632,145.012656,3070,Northcote,https://play.tennis.com.au/northcotetenniscourts/Booking/
"34 Dunstan St, Preston VIC 3072",Dunstan Park Tennis Club,-37.72902392,144.9864218,3072,Preston,https://play.tennis.com.au/dunstanparktennisclub/booking/
"153 Simpson St, East Melbourne VIC 3002",Powlett Reserve Tennis Centre,-37.80757316,144.9860028,3002,East Melbourne,https://victennisacademy.com.au/powlett-reserve-east-melbourne/#book
"11 Nicholson St, Carlton VIC 3053",Carlton Gardens Tennis Club,-37.79911217,144.9724144,3053,Carlton,https://play.tennis.com.au/carltongardenstennisclub/Booking/
"Garden St, Reservoir VIC 3073",Regent Tennis Club,-37.72266876,145.0051917,3073,Reservoir,https://play.tennis.com.au/regenttennisclub/Booking
"75 Leamington St, Reservoir VIC 3073",Lakeview Tennis Club,-37.70869799,144.9920675,3073,Reservoir,https://play.tennis.com.au/lakeviewtennisclub/Booking
"3 Creedon St, Fawkner VIC 3060",Fawkner Tennis Club,-37.71279977,144.9700319,3060,Fawkner,https://play.tennis.com.au/fawknertennisclub/Booking
"88 Middle St, Hadfield VIC 3046",Hadfield Tennis Club,-37.70681823,144.9409824,3046,Hadfield,https://play.tennis.com.au/HadfieldTennisClub/Booking/
"9 Ash Ct, Glenroy VIC 3046",Glenroy Tennis Club,-37.69595263,144.9241596,3046,Glenroy,https://play.tennis.com.au/glenroycommunitytennis
"44 Loeman St, Strathmore VIC 3041",Strathmore Tennis Club,-37.7308527,144.9176365,3041,Strathmore,https://play.tennis.com.au/strathmoretennisclub/Booking
"Moomba Park, Reserve/276 McBryde St, Fawkner VIC 3060",Moomba Park Tennis Club,-37.69447999,144.9768596,3060,Fawkner,https://play.tennis.com.au/MoombaParkTennisClub/Booking/
"2A Wagga Rd, Reservoir VIC 3073",Keon Park Tennis Club,-37.69563633,145.0134159,3073,Reservior,https://play.tennis.com.au/KeonParkTennisClub/Booking/
"145A Greenwood Dr, Bundoora VIC 3083",Bundoora Tennis Club,-37.69895104,145.0625839,3083,Bundoora,https://play.tennis.com.au/BundooraTennisClub/Booking/
"124 Karingal Dr, Greensborough VIC 3088",Karingal Drive Tennis Club,-37.69964886,145.1258629,3088,Greensborough,https://karingaldrivetennis.org.au/book-a-court/
"69 Catherine Ave, Tullamarine VIC 3043",Tullamarine Tennis Club,-37.69485246,144.872724,3043,Tullamarine,https://play.tennis.com.au/TullamarineTennisClub/Booking/
"118 Kingsway Dr, Lalor VIC 3075",West Lalor Tennis Club,-37.66182221,145.0095357,3075,Lalor,https://play.tennis.com.au/westlalortennisclub/Booking/
"280C Gordons Rd, South Morang VIC 3752",Mill Park Tennis Club - South Morang,-37.62981204,145.0793848,3752,South Morang,https://play.tennis.com.au/MillParkTennisClubSouthMorang/Booking/
"Section Rd, Greenvale VIC 3059",Greenvale Tennis Club,-37.62774315,144.8750608,3059,Greenvale,https://play.tennis.com.au/greenvaletennisclub/Booking/
"Selwyn Ave, Craigieburn VIC 3064",Craigieburn Tennis Club,-37.59401871,144.9323957,3064,Craigieburn,https://play.tennis.com.au/craigieburntennisclub/Booking/
"225 Marathon Blvd, Craigieburn VIC 3064",Hume Tennis,-37.57606238,144.9056166,3064,Craigieburn,https://play.tennis.com.au/humetennisandcommunitycentre/booking/
"Th Hurrey Recreation Reserve, 1935 Plenty Rd, Yan Yean VIC 3755",Yan Yean Tennis Club,-37.54995993,145.108856,3755,Yan Yean,https://play.tennis.com.au/YanYeanTennisClub/Booking/
"Francis St, Oak Park VIC 3046",Oak Park Tennis Club,-37.71502824,144.9131135,3046,Oak Park,https://www.oakparktc.org.au/court-schedule/
"19A Royal Ave, Essendon North VIC 3041",Doutta Galla Tennis Club,-37.73593302,144.9037485,3041,Essendon North,https://douttagalla.com/the-club/booking-a-court/
"85 Market St, Essendon VIC 3040",Buckley Park Tennis Club,-37.741364,144.8979215,3040,Essendon,https://play.tennis.com.au/buckleyparktennisclub/Booking/
"115 Rachelle Rd, Keilor East VIC 3033",Keilor East Tennis Club,-37.73626218,144.8716997,3033,Keilor East,https://play.tennis.com.au/keiloreasttennisclub/Booking/
"50 Newsom St, Ascot Vale VIC 3032",Ascot Vale Tennis Club,-37.77361255,144.8997944,3032,Ascot Vale,https://play.tennis.com.au/riversidetenniscourts/Booking/
"69 Speakman Street, Kensington, VIC 3031",Kensington Tennis Court,-37.79429455,144.915759,3031,Kensington,https://play.tennis.com.au/KensingtonCommunityRecreationCentre/Booking/
"Stanford St, Sunshine VIC 3020",Sunshine Park Tennis Club,-37.79249091,144.8345271,3020,Sunshine,https://play.tennis.com.au/SunshineParkTennisClub/Booking/
"Doyle Street Reserve, Cornwall St, Avondale Heights VIC 3034",Avondale Heights Tennis Club,-37.76058843,144.8575149,3034,Avondale Heights,https://play.tennis.com.au/AvondaleHeightsTennisClub/Booking/
"5 St Albans Rd, St Albans VIC 3021",St Albans East Tennis Club,-37.74346951,144.8005802,3021,St Albans,https://play.tennis.com.au/StAlbansEastTennisClub
