id,fromUserId,toUserId,senderId,receiverId,status,createdAt,timestamp,updatedAt,conversationId,relationshipRefPath
50ltSXixlIpY4M1tbCdS,w3CzPUO9ZqMUy192hagGMOlljio1,EDqobW12cRRQ71brC4earMdwMbg2,,,,2026-06-15T11:09:05.219Z,,2026-06-16T09:36:05.184Z,EDqobW12cRRQ71brC4earMdwMbg2_w3CzPUO9ZqMUy192hagGMOlljio1,player_relationships/EDqobW12cRRQ71brC4earMdwMbg2_w3CzPUO9ZqMUy192hagGMOlljio1
agUZStIbymI33ES5fs7S,w3CzPUO9ZqMUy192hagGMOlljio1,SkAO1osScAR1HNNf97BMgLmkvN33,,,,2026-06-13T03:41:33.449Z,,2026-06-15T11:04:54.222Z,SkAO1osScAR1HNNf97BMgLmkvN33_w3CzPUO9ZqMUy192hagGMOlljio1,player_relationships/SkAO1osScAR1HNNf97BMgLmkvN33_w3CzPUO9ZqMUy192hagGMOlljio1
Hn6Tm0FWZ1OYPKQRwJm5,w3CzPUO9ZqMUy192hagGMOlljio1,SkAO1osScAR1HNNf97BMgLmkvN33,,,,2026-06-13T03:36:50.194Z,,2026-06-13T03:41:13.612Z,SkAO1osScAR1HNNf97BMgLmkvN33_w3CzPUO9ZqMUy192hagGMOlljio1,player_relationships/SkAO1osScAR1HNNf97BMgLmkvN33_w3CzPUO9ZqMUy192hagGMOlljio1
4ChhVfJ702uJTocegts7,mYForAy00DhIeeMjm2juKRRoyBm1,stXpKpE1wSVEGo6BXDMItfmHIuQ2,,,,2026-06-03T07:04:13.926Z,,2026-06-03T07:36:18.530Z,mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2,player_relationships/mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2
bXidfNsWEcYWNyl0z4L3,mYForAy00DhIeeMjm2juKRRoyBm1,stXpKpE1wSVEGo6BXDMItfmHIuQ2,,,,2026-06-03T07:03:59.087Z,,2026-06-03T07:36:15.620Z,mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2,player_relationships/mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2
HVC3IdAIEjA3sdic8V6X,mYForAy00DhIeeMjm2juKRRoyBm1,stXpKpE1wSVEGo6BXDMItfmHIuQ2,,,,2026-06-03T07:03:58.806Z,,2026-06-03T07:36:12.441Z,mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2,player_relationships/mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2
08unheB7Ob2CryYxkRku,mYForAy00DhIeeMjm2juKRRoyBm1,stXpKpE1wSVEGo6BXDMItfmHIuQ2,,,,2026-06-03T07:03:58.646Z,,2026-06-03T07:36:09.720Z,mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2,player_relationships/mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2
tGSnKylhYLYvjlcYFdtb,mYForAy00DhIeeMjm2juKRRoyBm1,stXpKpE1wSVEGo6BXDMItfmHIuQ2,,,,2026-06-03T07:03:58.212Z,,2026-06-03T07:36:05.725Z,mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2,player_relationships/mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2
esrZiELp5NSjBpovdQWq,mYForAy00DhIeeMjm2juKRRoyBm1,stXpKpE1wSVEGo6BXDMItfmHIuQ2,,,,2026-06-03T07:03:57.782Z,,2026-06-03T07:36:02.424Z,mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2,player_relationships/mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2
mgrfJrD3C6n8KdfCYKBE,mYForAy00DhIeeMjm2juKRRoyBm1,stXpKpE1wSVEGo6BXDMItfmHIuQ2,,,,2026-06-03T07:03:53.213Z,,2026-06-03T07:35:53.124Z,mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2,player_relationships/mYForAy00DhIeeMjm2juKRRoyBm1_stXpKpE1wSVEGo6BXDMItfmHIuQ2
